Date,Category,UAH
2023-03-10 09:09:03.386,Люті пташки,500.0
2023-03-10 09:09:03.463,Люті пташки,100.0
2023-03-10 09:09:03.545,Люті пташки,200.0
2023-03-10 09:09:03.623,Люті пташки,50.0
2023-03-10 09:09:03.713,Люті пташки,100.0
2023-03-10 09:09:03.788,Люті пташки,100.0
2023-03-10 09:14:03.023,Люті пташки,25.0
2023-03-10 09:14:03.102,Люті пташки,100.0
2023-03-10 09:14:03.178,Люті пташки,500.0
2023-03-10 09:14:03.256,Люті пташки,200.0
2023-03-10 09:14:03.339,Люті пташки,5.0
2023-03-10 09:14:03.412,Люті пташки,50.0
2023-03-10 09:14:03.494,Люті пташки,100.0
2023-03-10 09:14:03.574,Люті пташки,2.0
2023-03-10 09:14:03.649,Люті пташки,100.0
2023-03-10 09:14:03.867,Люті пташки,300.0
2023-03-10 09:14:03.944,Люті пташки,100.0
2023-03-10 09:19:03.041,Люті пташки,500.0
2023-03-10 09:19:03.118,Люті пташки,20.0
2023-03-10 09:19:03.733,Люті пташки,100.0
2023-03-10 09:19:03.811,Люті пташки,100.0
2023-03-10 09:19:03.884,Люті пташки,325.0
2023-03-10 09:19:03.964,Люті пташки,100.0
2023-03-10 09:23:03.197,Люті пташки,100.0
2023-03-10 09:25:03.276,Люті пташки,100.0
2023-03-10 09:25:03.360,Люті пташки,50.0
2023-03-10 09:25:03.440,Люті пташки,100.0
2023-03-10 09:25:03.519,Люті пташки,300.0
2023-03-10 09:25:03.595,Люті пташки,300.0
2023-03-10 09:25:03.674,Люті пташки,300.0
2023-03-10 09:25:03.757,Люті пташки,1000.0
2023-03-10 09:25:03.829,Люті пташки,50.0
2023-03-10 09:25:03.908,Люті пташки,25.0
2023-03-10 09:30:03.062,Люті пташки,100.0
2023-03-10 09:30:03.140,Люті пташки,159.0
2023-03-10 09:30:03.221,Люті пташки,100.0
2023-03-10 09:30:03.298,Люті пташки,250.0
2023-03-10 09:30:03.988,Люті пташки,50.0
2023-03-10 09:35:03.002,Люті пташки,500.0
2023-03-10 09:35:03.080,Люті пташки,300.0
2023-03-10 09:35:03.378,Люті пташки,10.0
2023-03-10 09:35:03.457,Люті пташки,150.0
2023-03-10 09:35:03.536,Люті пташки,800.0
2023-03-10 09:35:03.614,Люті пташки,100.0
2023-03-10 09:35:03.695,Люті пташки,5000.0
2023-03-10 09:35:03.772,Люті пташки,50.0
2023-03-10 09:35:03.849,Люті пташки,100.0
2023-03-10 09:35:03.928,Люті пташки,100.0
2023-03-10 09:41:03.163,Люті пташки,1000.0
2023-03-10 09:41:03.243,Люті пташки,100.0
2023-03-10 09:41:03.316,Люті пташки,300.0
